param_classifier__depth,param_classifier__l2_leaf_reg,param_classifier__learning_rate,param_classifier__n_estimators,param_classifier__random_strength,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,1,0.01,50,1,0.4,0.5729442970822282,0.6380697050938338,0.5748987854251012,0.592020592020592,0.6166902404526167
3,1,0.01,50,1,0.6,0.584,0.6415620641562064,0.5741239892183289,0.5927835051546392,0.6166902404526167
3,1,0.01,50,1,0.8,0.5839017735334243,0.6387726638772664,0.5764546684709067,0.6005361930294906,0.615819209039548
3,1,0.01,50,5,0.4,0.5677083333333334,0.6323119777158774,0.5835616438356165,0.596078431372549,0.6173541963015647
3,1,0.01,50,5,0.6,0.5795918367346938,0.637883008356546,0.5843621399176955,0.6049046321525886,0.6184397163120567
3,1,0.01,50,5,0.8,0.5828877005347594,0.6340782122905028,0.5772357723577236,0.5974025974025974,0.6226685796269728
3,1,0.01,100,1,0.4,0.5921787709497207,0.653179190751445,0.5877437325905293,0.6134800550206327,0.6298984034833092
3,1,0.01,100,1,0.6,0.585635359116022,0.6430678466076696,0.585635359116022,0.6078697421981004,0.6289855072463768
3,1,0.01,100,1,0.8,0.5943661971830986,0.6450662739322534,0.5852981969486823,0.61731843575419,0.6359583952451708
3,1,0.01,100,5,0.4,0.5792349726775956,0.6393210749646393,0.5867768595041323,0.6115702479338843,0.6233766233766234
3,1,0.01,100,5,0.6,0.5857740585774058,0.6420454545454546,0.5883977900552486,0.6098901098901099,0.6206896551724138
3,1,0.01,100,5,0.8,0.5840220385674931,0.6373937677053825,0.5843621399176955,0.6075268817204301,0.6269956458635704
3,1,0.01,200,1,0.4,0.6045845272206304,0.6451612903225806,0.594059405940594,0.6100278551532033,0.6416791604197901
3,1,0.01,200,1,0.6,0.599713055954089,0.6447761194029851,0.5923836389280677,0.6186440677966102,0.6467065868263473
3,1,0.01,200,1,0.8,0.6019971469329529,0.6458333333333334,0.5952045133991537,0.61731843575419,0.6476761619190404
3,1,0.01,200,5,0.4,0.5946704067321178,0.641726618705036,0.5888888888888889,0.61731843575419,0.6297376093294461
3,1,0.01,200,5,0.6,0.59375,0.6454413892908828,0.5924895688456189,0.6190476190476191,0.6260869565217392
3,1,0.01,200,5,0.8,0.5954415954415955,0.6464646464646465,0.5902097902097903,0.6164574616457462,0.6379821958456974
3,1,0.01,300,1,0.4,0.6055312954876274,0.6537313432835821,0.5954415954415955,0.6203966005665722,0.648729446935725
3,1,0.01,300,1,0.6,0.6023054755043228,0.6507462686567164,0.5925925925925926,0.6195190947666195,0.649624060150376
3,1,0.01,300,1,0.8,0.6069364161849711,0.6517857142857143,0.5965909090909091,0.6214689265536724,0.6506024096385542
3,1,0.01,300,5,0.4,0.5925925925925926,0.6441176470588236,0.5907172995780591,0.6205923836389281,0.64
3,1,0.01,300,5,0.6,0.5982905982905983,0.6450662739322534,0.5915492957746479,0.6225352112676056,0.6352941176470588
3,1,0.01,300,5,0.8,0.6017191977077364,0.6450662739322534,0.5907172995780591,0.6190476190476191,0.6408345752608048
3,1,0.05,50,1,0.4,0.599713055954089,0.6459259259259259,0.5912305516265912,0.6168741355463347,0.6517189835575485
3,1,0.05,50,1,0.6,0.6051873198847262,0.6475903614457831,0.5925925925925926,0.6217765042979942,0.6536144578313253
3,1,0.05,50,1,0.8,0.6031746031746031,0.6457399103139013,0.6068376068376068,0.6134453781512605,0.6586466165413534
3,1,0.05,50,5,0.4,0.5988538681948424,0.6424418604651163,0.5926966292134831,0.6054794520547945,0.62882096069869
3,1,0.05,50,5,0.6,0.5985611510791367,0.6471449487554904,0.5921787709497207,0.6149584487534626,0.6251808972503617
3,1,0.05,50,5,0.8,0.5959885386819485,0.642754662840746,0.5955056179775281,0.6223479490806223,0.6371681415929203
3,1,0.05,100,1,0.4,0.6055312954876274,0.6565349544072948,0.5959885386819485,0.6171428571428571,0.654434250764526
3,1,0.05,100,1,0.6,0.6122448979591837,0.6606334841628959,0.5925925925925926,0.6205923836389281,0.6504559270516718
3,1,0.05,100,1,0.8,0.6032210834553441,0.6529411764705882,0.6008583690987125,0.6191155492154066,0.6574923547400612
3,1,0.05,100,5,0.4,0.6058823529411764,0.6457399103139013,0.5962910128388017,0.6214689265536724,0.6397608370702541
3,1,0.05,100,5,0.6,0.6084425036390102,0.6517857142857143,0.5909090909090909,0.6221590909090909,0.6437125748502994
3,1,0.05,100,5,0.8,0.6129032258064516,0.655688622754491,0.5909090909090909,0.6246418338108882,0.6525679758308157
3,1,0.05,200,1,0.4,0.6068759342301944,0.6586826347305389,0.6014388489208633,0.617816091954023,0.663594470046083
3,1,0.05,200,1,0.6,0.6083086053412463,0.6546546546546547,0.5945945945945946,0.6291486291486291,0.6584992343032159
3,1,0.05,200,1,0.8,0.6066066066066066,0.6537313432835821,0.6083213773314203,0.6240928882438317,0.6604651162790698
3,1,0.05,200,5,0.4,0.6038863976083707,0.6666666666666666,0.5977011494252874,0.6212765957446809,0.656441717791411
3,1,0.05,200,5,0.6,0.6062407132243685,0.6458333333333334,0.6040462427745664,0.6213872832369942,0.654434250764526
3,1,0.05,200,5,0.8,0.6103703703703703,0.656671664167916,0.599713055954089,0.6217765042979942,0.6564885496183206
3,1,0.05,300,1,0.4,0.6042296072507553,0.6546003016591252,0.6002886002886003,0.6202898550724638,0.655436447166922
3,1,0.05,300,1,0.6,0.6,0.6515151515151515,0.6069364161849711,0.6217008797653959,0.6615384615384615
3,1,0.05,300,1,0.8,0.601526717557252,0.6465256797583081,0.6135693215339233,0.6228070175438597,0.6583850931677019
3,1,0.05,300,5,0.4,0.5967016491754122,0.6626323751891074,0.5965909090909091,0.6195965417867435,0.6563944530046225
3,1,0.05,300,5,0.6,0.5982142857142857,0.6547085201793722,0.6060606060606061,0.6253602305475504,0.6503067484662577
3,1,0.05,300,5,0.8,0.5988023952095808,0.6576576576576577,0.6019971469329529,0.6202898550724638,0.6676923076923077
3,1,0.1,50,1,0.4,0.6108663729809104,0.656671664167916,0.5951359084406295,0.6218487394957983,0.6504559270516718
3,1,0.1,50,1,0.6,0.6008836524300442,0.6529411764705882,0.5905848787446505,0.6189111747851003,0.6555891238670695
3,1,0.1,50,1,0.8,0.6052631578947368,0.6526946107784432,0.5900709219858156,0.6219686162624821,0.6605783866057838
3,1,0.1,50,5,0.4,0.6008708272859217,0.640117994100295,0.5925925925925926,0.6271186440677966,0.6427503736920778
3,1,0.1,50,5,0.6,0.599713055954089,0.6530014641288433,0.5898876404494382,0.6244604316546762,0.6369047619047619
3,1,0.1,50,5,0.8,0.6032210834553441,0.646795827123696,0.5911047345767575,0.6244604316546762,0.6395173453996983
3,1,0.1,100,1,0.4,0.6080476900149031,0.6537313432835821,0.5988538681948424,0.6253602305475504,0.6541471048513302
3,1,0.1,100,1,0.6,0.6130952380952381,0.6528189910979229,0.6014388489208633,0.6260869565217392,0.6584615384615384
3,1,0.1,100,1,0.8,0.6,0.6467065868263473,0.6005747126436781,0.622478386167147,0.6481481481481481
3,1,0.1,100,5,0.4,0.6092124814264487,0.6576576576576577,0.6069364161849711,0.6262341325811002,0.6485671191553545
3,1,0.1,100,5,0.6,0.6106194690265486,0.6577380952380952,0.5968436154949784,0.6219686162624821,0.6513056835637481
3,1,0.1,100,5,0.8,0.6056129985228951,0.6547619047619048,0.599713055954089,0.630057803468208,0.6483180428134556
3,1,0.1,200,1,0.4,0.5972850678733032,0.6513761467889908,0.6052631578947368,0.6115942028985507,0.6604651162790698
3,1,0.1,200,1,0.6,0.6116207951070336,0.6534954407294833,0.6075581395348837,0.6147058823529412,0.6728682170542636
3,1,0.1,200,1,0.8,0.5963302752293578,0.650231124807396,0.5970588235294118,0.6147058823529412,0.6554878048780488
3,1,0.1,200,5,0.4,0.6151515151515151,0.6605783866057838,0.6080691642651297,0.621897810218978,0.6636085626911316
3,1,0.1,200,5,0.6,0.6003016591251885,0.6666666666666666,0.6017441860465116,0.60932944606414,0.6501547987616099
3,1,0.1,200,5,0.8,0.5978755690440061,0.649390243902439,0.6,0.6198830409356725,0.656441717791411
3,1,0.1,300,1,0.4,0.6042944785276073,0.6491499227202473,0.5941176470588235,0.6081871345029239,0.650231124807396
3,1,0.1,300,1,0.6,0.6061538461538462,0.6584234930448223,0.613603473227207,0.6101190476190477,0.6687306501547987
3,1,0.1,300,1,0.8,0.6028257456828885,0.6415094339622641,0.5988200589970502,0.6246246246246246,0.6541471048513302
3,1,0.1,300,5,0.4,0.6057838660578386,0.6513056835637481,0.6057971014492753,0.6147058823529412,0.6605504587155964
3,1,0.1,300,5,0.6,0.5962732919254659,0.6635658914728683,0.6056129985228951,0.6079295154185022,0.6490683229813664
3,1,0.1,300,5,0.8,0.603125,0.6469673405909798,0.5955555555555555,0.6112759643916914,0.6573643410852713
3,3,0.01,50,1,0.4,0.5718015665796344,0.6371428571428571,0.5756756756756757,0.5986928104575163,0.6175637393767706
3,3,0.01,50,1,0.6,0.5832223701731025,0.636237897648686,0.5756756756756757,0.6002691790040376,0.6143057503506312
3,3,0.01,50,1,0.8,0.5832223701731025,0.649645390070922,0.5764546684709067,0.6059782608695652,0.614950634696756
3,3,0.01,50,5,0.4,0.5827633378932968,0.6299862448418156,0.5811732605729877,0.6190476190476191,0.620199146514936
3,3,0.01,50,5,0.6,0.5714285714285714,0.6310013717421125,0.5756756756756757,0.6057298772169167,0.6195190947666195
3,3,0.01,50,5,0.8,0.5867768595041323,0.6374829001367989,0.5835616438356165,0.6107290233837689,0.6143057503506312
3,3,0.01,100,1,0.4,0.5897079276773296,0.638109305760709,0.5795918367346938,0.6102150537634409,0.631578947368421
3,3,0.01,100,1,0.6,0.5941422594142259,0.6472303206997084,0.5808219178082191,0.6187845303867403,0.6318840579710145
3,3,0.01,100,1,0.8,0.5919778699861687,0.6472303206997084,0.5800273597811217,0.6104078762306611,0.6323529411764706
3,3,0.01,100,5,0.4,0.5836791147994468,0.6339410939691444,0.5875862068965517,0.6147426981919333,0.6219686162624821
3,3,0.01,100,5,0.6,0.5828729281767956,0.6359832635983264,0.5859697386519945,0.6104972375690608,0.6244604316546762
3,3,0.01,100,5,0.8,0.5895627644569816,0.6429587482219061,0.5867768595041323,0.6121883656509696,0.6246418338108882
3,3,0.01,200,1,0.4,0.6022727272727273,0.6447761194029851,0.5918653576437588,0.6179775280898876,0.6427503736920778
3,3,0.01,200,1,0.6,0.6065808297567954,0.6439169139465876,0.5943661971830986,0.6219686162624821,0.646795827123696
3,3,0.01,200,1,0.8,0.6019971469329529,0.6427503736920778,0.596045197740113,0.6183844011142061,0.6476761619190404
3,3,0.01,200,5,0.4,0.5952045133991537,0.6392045454545454,0.5883977900552486,0.6207865168539326,0.631578947368421
3,3,0.01,200,5,0.6,0.5912305516265912,0.6446043165467625,0.5902097902097903,0.6155988857938719,0.627906976744186
3,3,0.01,200,5,0.8,0.5949008498583569,0.6443148688046647,0.5910364145658263,0.6201117318435754,0.6371681415929203
3,3,0.01,300,1,0.4,0.6071942446043166,0.6526946107784432,0.5942857142857143,0.6162464985994398,0.6467065868263473
3,3,0.01,300,1,0.6,0.6064139941690962,0.6537313432835821,0.5951359084406295,0.6248216833095578,0.6515837104072398
3,3,0.01,300,1,0.8,0.6064139941690962,0.6508172362555721,0.5934379457917262,0.6205923836389281,0.6506024096385542
3,3,0.01,300,5,0.4,0.5968436154949784,0.6416184971098265,0.5921787709497207,0.6244725738396625,0.6428571428571429
3,3,0.01,300,5,0.6,0.5951359084406295,0.6431718061674009,0.594059405940594,0.6162464985994398,0.6389301634472511
3,3,0.01,300,5,0.8,0.60431654676259,0.6411764705882353,0.5915492957746479,0.6235955056179775,0.6388059701492538
3,3,0.05,50,1,0.4,0.6066763425253991,0.6468842729970327,0.5943661971830986,0.6226685796269728,0.6476761619190404
3,3,0.05,50,1,0.6,0.5982658959537572,0.6438152011922503,0.5925925925925926,0.62,0.6476761619190404
3,3,0.05,50,1,0.8,0.6040462427745664,0.6452554744525547,0.5952045133991537,0.6186440677966102,0.6447761194029851
3,3,0.05,50,5,0.4,0.6,0.6370157819225251,0.5877437325905293,0.6199158485273493,0.6334310850439883
3,3,0.05,50,5,0.6,0.5912305516265912,0.6410256410256411,0.5902097902097903,0.6190476190476191,0.6370370370370371
3,3,0.05,50,5,0.8,0.5932203389830508,0.6415094339622641,0.5968882602545968,0.6221590909090909,0.6332842415316642
3,3,0.05,100,1,0.4,0.6102189781021898,0.6586466165413534,0.599713055954089,0.6217765042979942,0.6515837104072398
3,3,0.05,100,1,0.6,0.6058823529411764,0.6586826347305389,0.6005665722379604,0.6182873730043541,0.6514459665144596
3,3,0.05,100,1,0.8,0.6020558002936858,0.6557377049180327,0.5985815602836879,0.6219686162624821,0.6504559270516718
3,3,0.05,100,5,0.4,0.6115214180206795,0.6383601756954612,0.5957446808510638,0.6269503546099291,0.6455505279034691
3,3,0.05,100,5,0.6,0.6072992700729927,0.6447761194029851,0.5934379457917262,0.6210826210826211,0.6464339908952959
3,3,0.05,100,5,0.8,0.6122448979591837,0.6477611940298508,0.5962910128388017,0.6276747503566333,0.6476761619190404
3,3,0.05,200,1,0.4,0.6107784431137725,0.6537313432835821,0.6040462427745664,0.6197991391678622,0.652241112828439
3,3,0.05,200,1,0.6,0.6017964071856288,0.6477611940298508,0.6005747126436781,0.6244604316546762,0.6573208722741433
3,3,0.05,200,1,0.8,0.5984962406015037,0.6576576576576577,0.603448275862069,0.6235632183908046,0.653250773993808
3,3,0.05,200,5,0.4,0.6083086053412463,0.6576168929110106,0.5985611510791367,0.6294706723891274,0.6524390243902439
3,3,0.05,200,5,0.6,0.6074074074074074,0.6536144578313253,0.5991440798858774,0.6264367816091954,0.649390243902439
3,3,0.05,200,5,0.8,0.6074074074074074,0.6486486486486487,0.6031746031746031,0.6282420749279539,0.649390243902439
3,3,0.05,300,1,0.4,0.6045112781954888,0.6586102719033232,0.6060606060606061,0.6240928882438317,0.6584234930448223
3,3,0.05,300,1,0.6,0.603030303030303,0.6424242424242425,0.60431654676259,0.6202898550724638,0.6666666666666666
3,3,0.05,300,1,0.8,0.5942684766214178,0.6524390243902439,0.6080691642651297,0.6248175182481752,0.6615853658536586
3,3,0.05,300,5,0.4,0.6056971514242878,0.655688622754491,0.6028571428571429,0.62,0.652241112828439
3,3,0.05,300,5,0.6,0.6026986506746627,0.6527570789865872,0.6068376068376068,0.6182873730043541,0.6542635658914728
3,3,0.05,300,5,0.8,0.6026986506746627,0.6475037821482602,0.6054519368723099,0.6204906204906205,0.6512345679012346
3,3,0.1,50,1,0.4,0.6044444444444445,0.6607669616519174,0.5994318181818182,0.6223479490806223,0.6523736600306279
3,3,0.1,50,1,0.6,0.6090775988286969,0.6596385542168675,0.59375,0.6189111747851003,0.649390243902439
3,3,0.1,50,1,0.8,0.6067746686303387,0.6596701649175413,0.5982905982905983,0.6173541963015647,0.6605504587155964
3,3,0.1,50,5,0.4,0.5985611510791367,0.6455505279034691,0.5907172995780591,0.6208869814020028,0.6437125748502994
3,3,0.1,50,5,0.6,0.5994236311239193,0.6417910447761194,0.6011396011396012,,0.6443768996960486
3,3,0.1,50,5,0.8,0.604992657856094,0.6506746626686657,0.5959885386819485,0.6264367816091954,0.6457399103139013
3,3,0.1,100,1,0.4,0.6047904191616766,0.6567607726597325,0.603448275862069,0.622478386167147,0.6563944530046225
3,3,0.1,100,1,0.6,0.592814371257485,0.6507462686567164,0.5974395448079659,0.6273381294964029,0.650231124807396
3,3,0.1,100,1,0.8,0.5988023952095808,0.6547619047619048,0.6051873198847262,0.6244604316546762,0.6552262090483619
3,3,0.1,100,5,0.4,0.6047197640117994,0.6585735963581184,0.597997138769671,0.6213872832369942,0.6454545454545455
3,3,0.1,100,5,0.6,0.6080476900149031,0.6555891238670695,0.6020260492040521,0.6248175182481752,0.650381679389313
3,3,0.1,100,5,0.8,0.6,0.6525037936267072,0.5982658959537572,0.6333808844507846,0.6473282442748092
3,3,0.1,200,1,0.4,0.5960665658093798,0.655436447166922,0.6074498567335244,0.618978102189781,0.6503067484662577
3,3,0.1,200,1,0.6,0.6045801526717557,0.6493108728943339,0.6037735849056604,0.616519174041298,0.6605504587155964
3,3,0.1,200,1,0.8,0.6012269938650306,0.6574074074074074,0.6017441860465116,0.623718887262079,0.6604651162790698
3,3,0.1,200,5,0.4,0.6075187969924812,0.6534954407294833,0.6005747126436781,0.6160583941605839,0.6656441717791411
3,3,0.1,200,5,0.6,0.6033690658499234,0.6564885496183206,0.6098265895953757,0.6180758017492711,0.6625954198473283
3,3,0.1,200,5,0.8,0.6076335877862595,0.650231124807396,0.6002886002886003,0.6226138032305433,0.655436447166922
3,3,0.1,300,1,0.4,0.6003062787136294,0.653250773993808,0.6032210834553441,0.6185567010309279,0.656441717791411
3,3,0.1,300,1,0.6,0.6024844720496895,0.6542635658914728,0.6005917159763313,0.6167664670658682,0.6646153846153846
3,3,0.1,300,1,0.8,0.5956112852664577,0.653250773993808,0.6008836524300442,0.6240713224368499,0.6604651162790698
3,3,0.1,300,5,0.4,0.60790273556231,0.6625386996904025,0.6069364161849711,0.6169590643274854,0.6605222734254992
3,3,0.1,300,5,0.6,0.6077519379844961,0.653125,0.6095791001451378,0.6226138032305433,0.6594761171032357
3,3,0.1,300,5,0.8,0.5981308411214953,0.6530612244897959,0.5985401459854015,0.6151560178306092,0.6490683229813664
3,7,0.01,50,1,0.4,0.5699481865284974,0.6327372764786795,0.5756756756756757,0.6027027027027027,0.6211699164345403
3,7,0.01,50,1,0.6,0.5826558265582655,0.6372413793103449,0.5764546684709067,0.601078167115903,0.62
3,7,0.01,50,1,0.8,0.5809018567639257,0.6457765667574932,0.5748987854251012,0.601078167115903,0.6173541963015647
3,7,0.01,50,5,0.4,0.5718085106382979,0.6322930800542741,0.5764546684709067,0.6016042780748663,0.6219686162624821
3,7,0.01,50,5,0.6,0.5763157894736842,0.6289655172413793,0.5827633378932968,0.6065573770491803,0.6228571428571429
3,7,0.01,50,5,0.8,0.584573748308525,0.628099173553719,0.5795918367346938,0.6082191780821918,0.6179775280898876
3,7,0.01,100,1,0.4,0.5936199722607489,0.6454413892908828,0.5835616438356165,0.6062246278755075,0.6355685131195336
3,7,0.01,100,1,0.6,0.5892116182572614,0.6464646464646465,0.5844875346260388,0.6132208157524613,0.6308139534883721
3,7,0.01,100,1,0.8,0.5971830985915493,0.6481751824817519,0.5861111111111111,0.6097902097902098,0.6334310850439883
3,7,0.01,100,5,0.4,0.5827633378932968,0.6413502109704642,0.5819672131147541,0.6110363391655451,0.6262626262626263
3,7,0.01,100,5,0.6,0.5819672131147541,0.6422535211267606,0.5892116182572614,0.6088154269972452,0.6325036603221084
3,7,0.01,100,5,0.8,0.584958217270195,0.6375176304654443,0.5851648351648352,0.6113416320885201,0.6235632183908046
3,7,0.01,200,1,0.4,0.6028571428571429,0.6440177252584933,0.5935302390998594,0.6147426981919333,0.6477611940298508
3,7,0.01,200,1,0.6,0.5982905982905983,0.6488888888888888,0.5915492957746479,0.6239316239316239,0.6457399103139013
3,7,0.01,200,1,0.8,0.603448275862069,0.6407185628742516,0.5932203389830508,0.6160337552742616,0.6476761619190404
3,7,0.01,200,5,0.4,0.5912305516265912,0.6419400855920114,0.5880721220527045,0.6155988857938719,0.6362297496318114
3,7,0.01,200,5,0.6,0.594059405940594,0.6446043165467625,0.5924895688456189,0.6225352112676056,0.6362297496318114
3,7,0.01,200,5,0.8,0.596045197740113,0.6401137980085349,0.5924895688456189,0.6192468619246861,0.636094674556213
3,7,0.01,300,1,0.4,0.6142649199417758,0.6517857142857143,0.5917496443812233,0.6186440677966102,0.6476761619190404
3,7,0.01,300,1,0.6,0.6084425036390102,0.6547085201793722,0.5945945945945946,0.6223479490806223,0.649624060150376
3,7,0.01,300,1,0.8,0.6057971014492753,0.6547085201793722,0.5965909090909091,0.6225352112676056,0.6525679758308157
3,7,0.01,300,5,0.4,0.6,0.6424418604651163,0.5910364145658263,0.6225352112676056,0.638109305760709
3,7,0.01,300,5,0.6,0.5982905982905983,0.6422287390029325,0.5898876404494382,0.6197183098591549,0.6417910447761194
3,7,0.01,300,5,0.8,0.5968436154949784,0.6403508771929824,0.5923836389280677,0.6234132581100141,0.6416791604197901
3,7,0.05,50,1,0.4,0.5979680696661829,0.6442166910688141,0.596045197740113,0.6237482117310443,0.6383601756954612
3,7,0.05,50,1,0.6,0.5988538681948424,0.6458333333333334,0.5920679886685553,0.6260623229461756,0.6395173453996983
3,7,0.05,50,1,0.8,0.5988538681948424,0.6477611940298508,0.5945945945945946,0.6215827338129496,0.6515151515151515
3,7,0.05,50,5,0.4,0.5991316931982634,0.6492753623188405,0.5888888888888889,0.6267806267806267,0.6342182890855457
3,7,0.05,50,5,0.6,0.5977337110481586,0.6436781609195402,0.5859697386519945,0.6183844011142061,0.6331360946745562
3,7,0.05,50,5,0.8,0.5900709219858156,0.6466380543633763,0.5869262865090403,0.6216596343178622,0.6370370370370371
3,7,0.05,100,1,0.4,0.5997045790251108,0.655688622754491,0.5948275862068966,0.6189111747851003,0.6467065868263473
3,7,0.05,100,1,0.6,0.6070381231671554,0.6567164179104478,0.5991440798858774,0.6221590909090909,0.6525037936267072
3,7,0.05,100,1,0.8,0.6061493411420205,0.6518518518518519,0.6019971469329529,0.6169296987087518,0.6585365853658537
3,7,0.05,100,5,0.4,0.6076696165191741,0.6506746626686657,0.5949008498583569,0.6271676300578035,0.6445783132530121
3,7,0.05,100,5,0.6,0.6031746031746031,0.6477611940298508,0.5912305516265912,0.6287339971550497,0.6416791604197901
3,7,0.05,100,5,0.8,0.6140350877192983,0.6498516320474778,0.5925925925925926,0.6248216833095578,0.649390243902439
3,7,0.05,200,1,0.4,0.6050670640834576,0.6488095238095238,0.6028571428571429,0.6253602305475504,0.6513056835637481
3,7,0.05,200,1,0.6,0.6062407132243685,0.6547619047619048,0.6019971469329529,0.6253602305475504,0.6594090202177294
3,7,0.05,200,1,0.8,0.6014814814814815,0.646795827123696,0.5965417867435159,0.6242774566473989,0.6656394453004623
3,7,0.05,200,5,0.4,0.6075187969924812,0.6565349544072948,0.6020260492040521,0.6207906295754027,0.6524390243902439
3,7,0.05,200,5,0.6,0.6071428571428571,0.6475903614457831,0.593974175035868,0.6187050359712231,0.6543778801843319
3,7,0.05,200,5,0.8,0.6047197640117994,0.6534954407294833,0.5991440798858774,0.6260869565217392,0.650231124807396
3,7,0.05,300,1,0.4,0.6015037593984962,0.6485671191553545,0.6014388489208633,0.625,0.6594427244582043
3,7,0.05,300,1,0.6,0.6098654708520179,0.6475037821482602,0.603448275862069,0.6209912536443148,0.6604938271604939
3,7,0.05,300,1,0.8,0.6042296072507553,0.6536144578313253,0.6041055718475073,0.6257309941520468,0.662557781201849
3,7,0.05,300,5,0.4,0.6017964071856288,0.6557377049180327,0.6042553191489362,0.6204906204906205,0.6656346749226006
3,7,0.05,300,5,0.6,0.6077844311377245,0.6557377049180327,0.5982905982905983,0.6193921852387844,0.65527950310559
3,7,0.05,300,5,0.8,0.6066066066066066,0.6485671191553545,0.6017191977077364,0.6191860465116279,0.6604651162790698
3,7,0.1,50,1,0.4,0.6081871345029239,0.6577777777777778,0.6057142857142858,0.6226685796269728,0.6525679758308157
3,7,0.1,50,1,0.6,0.6046511627906976,0.6534954407294833,0.6028571428571429,0.6235632183908046,0.6656346749226006
3,7,0.1,50,1,0.8,0.6106194690265486,0.6538461538461539,0.6037195994277539,0.6260623229461756,0.6574923547400612
3,7,0.1,50,5,0.4,0.6106194690265486,0.653555219364599,0.5829846582984658,0.6297872340425532,0.6494688922610015
3,7,0.1,50,5,0.6,0.6023391812865497,0.6536144578313253,0.599713055954089,0.6260869565217392,0.6419019316493314
3,7,0.1,50,5,0.8,0.5959302325581395,0.6534954407294833,0.5914285714285714,0.62,0.6467065868263473
3,7,0.1,100,1,0.4,0.6050670640834576,0.6526315789473685,0.6057142857142858,0.6282420749279539,0.6521060842433697
3,7,0.1,100,1,0.6,0.6056971514242878,0.6466165413533834,0.5994236311239193,0.6260869565217392,0.6583850931677019
3,7,0.1,100,1,0.8,0.6006006006006006,0.6586466165413534,0.6042553191489362,0.6231884057971014,0.6552262090483619
3,7,0.1,100,5,0.4,0.6119402985074627,0.6564885496183206,0.5899280575539568,0.622478386167147,0.6564885496183206
3,7,0.1,100,5,0.6,0.6074074074074074,0.6534954407294833,0.6023054755043228,0.6294706723891274,0.654434250764526
3,7,0.1,100,5,0.8,0.5967503692762186,0.6545454545454545,0.5985611510791367,0.622093023255814,0.6595419847328244
3,7,0.1,200,1,0.4,0.6137404580152672,0.6546003016591252,0.6040462427745664,0.621897810218978,0.664624808575804
3,7,0.1,200,1,0.6,0.6069802731411229,0.6513761467889908,0.604992657856094,0.6286549707602339,0.6728395061728395
3,7,0.1,200,1,0.8,0.599388379204893,0.654320987654321,0.6034985422740525,0.616519174041298,0.6656394453004623
3,7,0.1,200,5,0.4,0.6063348416289592,0.6626506024096386,0.5962910128388017,0.6153846153846154,0.6584615384615384
3,7,0.1,200,5,0.6,0.6090909090909091,0.6443768996960486,0.6038291605301914,0.6202898550724638,0.6656441717791411
3,7,0.1,200,5,0.8,0.593939393939394,0.6575342465753424,0.5961820851688693,0.6277372262773723,0.6625194401244168
3,7,0.1,300,1,0.4,0.6092307692307692,0.6584992343032159,0.6085672082717873,0.6205882352941177,0.6697819314641744
3,7,0.1,300,1,0.6,0.6006191950464397,0.6512345679012346,0.606508875739645,0.6231454005934718,0.6708268330733229
3,7,0.1,300,1,0.8,0.6175548589341693,0.6531881804043546,0.5991189427312775,0.61698956780924,0.6645865834633385
