param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
3,sqrt,1,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,1,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,1,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,1,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,1,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,1,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,3,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,3,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,3,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,3,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,2,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,2,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,2,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,2,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,5,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,5,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,5,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,5,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,sqrt,5,10,50,0.5953757225433526,0.6371681415929203,0.5897079276773296,0.6112676056338028,0.6409495548961425
3,sqrt,5,10,100,0.5985611510791367,0.6337817638266069,0.593006993006993,0.6173541963015647,0.6369047619047619
3,sqrt,5,10,200,0.5991316931982634,0.6421207658321061,0.593006993006993,0.6153846153846154,0.6369047619047619
3,sqrt,5,10,300,0.5965417867435159,0.6411764705882353,0.5905292479108635,0.6138613861386139,0.6379821958456974
3,log2,1,2,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,2,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,2,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,2,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,1,5,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,5,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,5,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,5,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,1,10,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,1,10,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,1,10,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,1,10,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,3,2,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,3,2,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,3,2,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,3,2,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,3,5,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,3,5,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,3,5,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,3,5,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,3,10,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,3,10,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,3,10,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,3,10,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,5,2,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,5,2,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,5,2,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,5,2,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,5,5,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,5,5,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,5,5,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,5,5,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
3,log2,5,10,50,0.5979381443298969,0.6295754026354319,0.5968882602545968,0.6147308781869688,0.638109305760709
3,log2,5,10,100,0.6029411764705882,0.638235294117647,0.5952045133991537,0.6142857142857143,0.6417910447761194
3,log2,5,10,200,0.5985401459854015,0.6383601756954612,0.5938375350140056,0.6138613861386139,0.6370370370370371
3,log2,5,10,300,0.5997088791848617,0.6394160583941606,0.5921787709497207,0.6175637393767706,0.6379821958456974
5,sqrt,1,2,50,0.6011904761904762,0.6527570789865872,0.6002844950213371,0.6240928882438317,0.656441717791411
5,sqrt,1,2,100,0.6092124814264487,0.6458333333333334,0.6048502139800286,0.6195965417867435,0.6453576864535768
5,sqrt,1,2,200,0.6044444444444445,0.6444780635400907,0.6008583690987125,0.6187050359712231,0.6453576864535768
5,sqrt,1,2,300,0.6083086053412463,0.6456456456456456,0.6019971469329529,0.6215827338129496,0.6484848484848484
5,sqrt,1,5,50,0.606508875739645,0.6518518518518519,0.6002844950213371,0.6259097525473072,0.6574500768049155
5,sqrt,1,5,100,0.6029411764705882,0.6508172362555721,0.6028571428571429,0.622286541244573,0.6453576864535768
5,sqrt,1,5,200,0.6017699115044248,0.6445783132530121,0.6045845272206304,0.6187050359712231,0.6443768996960486
5,sqrt,1,5,300,0.606508875739645,0.6497005988023952,0.6028571428571429,0.6206896551724138,0.6494688922610015
5,sqrt,1,10,50,0.6056129985228951,0.6477611940298508,0.6002844950213371,0.6229985443959243,0.6554878048780488
5,sqrt,1,10,100,0.6020558002936858,0.648729446935725,0.603988603988604,0.6193921852387844,0.6453576864535768
5,sqrt,1,10,200,0.6026587887740029,0.6425339366515838,0.6045845272206304,0.6187050359712231,0.6443768996960486
5,sqrt,1,10,300,0.6085672082717873,0.6486486486486487,0.6019971469329529,0.6206896551724138,0.6484848484848484
5,sqrt,3,2,50,0.6106194690265486,0.6527570789865872,0.6002844950213371,0.627906976744186,0.6514459665144596
5,sqrt,3,2,100,0.6088235294117647,0.6497764530551415,0.6031294452347084,0.6233766233766234,0.6453576864535768
5,sqrt,3,2,200,0.6056129985228951,0.6466165413533834,0.6037195994277539,0.6195965417867435,0.6443768996960486
5,sqrt,3,2,300,0.6085672082717873,0.6476761619190404,0.6002844950213371,0.6215827338129496,0.6474164133738601
5,sqrt,3,5,50,0.6106194690265486,0.6527570789865872,0.6002844950213371,0.627906976744186,0.6514459665144596
5,sqrt,3,5,100,0.6088235294117647,0.6497764530551415,0.6031294452347084,0.6233766233766234,0.6453576864535768
5,sqrt,3,5,200,0.6056129985228951,0.6466165413533834,0.6037195994277539,0.6195965417867435,0.6443768996960486
5,sqrt,3,5,300,0.6085672082717873,0.6476761619190404,0.6002844950213371,0.6215827338129496,0.6474164133738601
5,sqrt,3,10,50,0.6097201767304861,0.6507462686567164,0.6002844950213371,0.6269956458635704,0.6523736600306279
5,sqrt,3,10,100,0.6070381231671554,0.6507462686567164,0.6022727272727273,0.6233766233766234,0.6473282442748092
5,sqrt,3,10,200,0.6038291605301914,0.643609022556391,0.6037195994277539,0.6195965417867435,0.6443768996960486
5,sqrt,3,10,300,0.6094674556213018,0.6466165413533834,0.6011396011396012,0.6215827338129496,0.6474164133738601
5,sqrt,5,2,50,0.6110283159463488,0.648729446935725,0.5977337110481586,0.6289855072463768,0.6555386949924128
5,sqrt,5,2,100,0.6038291605301914,0.6438152011922503,0.601418439716312,0.6233766233766234,0.6443768996960486
5,sqrt,5,2,200,0.6085672082717873,0.641566265060241,0.6028571428571429,0.6195965417867435,0.6443768996960486
5,sqrt,5,2,300,0.6094674556213018,0.6456456456456456,0.6028571428571429,0.6197991391678622,0.6474164133738601
5,sqrt,5,5,50,0.6110283159463488,0.648729446935725,0.5977337110481586,0.6289855072463768,0.6555386949924128
5,sqrt,5,5,100,0.6038291605301914,0.6438152011922503,0.601418439716312,0.6233766233766234,0.6443768996960486
5,sqrt,5,5,200,0.6085672082717873,0.641566265060241,0.6028571428571429,0.6195965417867435,0.6443768996960486
5,sqrt,5,5,300,0.6094674556213018,0.6456456456456456,0.6028571428571429,0.6197991391678622,0.6474164133738601
5,sqrt,5,10,50,0.6110283159463488,0.648729446935725,0.5977337110481586,0.6289855072463768,0.6555386949924128
5,sqrt,5,10,100,0.6038291605301914,0.6438152011922503,0.601418439716312,0.6233766233766234,0.6443768996960486
5,sqrt,5,10,200,0.6085672082717873,0.641566265060241,0.6028571428571429,0.6195965417867435,0.6443768996960486
5,sqrt,5,10,300,0.6094674556213018,0.6456456456456456,0.6028571428571429,0.6197991391678622,0.6474164133738601
5,log2,1,2,50,0.6071428571428571,0.6471494607087828,0.6008708272859217,0.6233766233766234,0.6445783132530121
5,log2,1,2,100,0.6062407132243685,0.6494688922610015,0.6049204052098408,0.6140602582496413,0.6455505279034691
5,log2,1,2,200,0.6092124814264487,0.650381679389313,0.6063218390804598,0.6206896551724138,0.6424242424242425
5,log2,1,2,300,0.6092124814264487,0.6534351145038167,0.6031746031746031,0.6193921852387844,0.6444780635400907
5,log2,1,5,50,0.6086956521739131,0.6470588235294118,0.6017441860465116,0.6233766233766234,0.6426426426426426
5,log2,1,5,100,0.6083086053412463,0.6534954407294833,0.6066763425253991,0.6187050359712231,0.6466165413533834
5,log2,1,5,200,0.6101190476190477,0.6473282442748092,0.6,0.6217765042979942,0.6453576864535768
5,log2,1,5,300,0.6092124814264487,0.6514459665144596,0.6023054755043228,0.6213872832369942,0.6465256797583081
5,log2,1,10,50,0.6130952380952381,0.6503067484662577,0.6017441860465116,0.622478386167147,0.6456456456456456
5,log2,1,10,100,0.6056129985228951,0.6514459665144596,0.6051873198847262,0.6215827338129496,0.6457399103139013
5,log2,1,10,200,0.6092124814264487,0.6473282442748092,0.6008583690987125,0.6226685796269728,0.6424242424242425
5,log2,1,10,300,0.6062407132243685,0.647239263803681,0.6017191977077364,0.6184971098265896,0.6435045317220544
5,log2,3,2,50,0.6107784431137725,0.6450617283950617,0.6066763425253991,0.6158273381294964,0.6426426426426426
5,log2,3,2,100,0.6053412462908012,0.6493108728943339,0.6040462427745664,0.6187050359712231,0.6445783132530121
5,log2,3,2,200,0.6092124814264487,0.642089093701997,0.6045845272206304,0.6206896551724138,0.6443768996960486
5,log2,3,2,300,0.6092124814264487,0.6441717791411042,0.6005747126436781,0.6195965417867435,0.6444780635400907
5,log2,3,5,50,0.6107784431137725,0.6450617283950617,0.6066763425253991,0.6158273381294964,0.6426426426426426
5,log2,3,5,100,0.6053412462908012,0.6493108728943339,0.6040462427745664,0.6187050359712231,0.6445783132530121
5,log2,3,5,200,0.6092124814264487,0.642089093701997,0.6045845272206304,0.6206896551724138,0.6443768996960486
5,log2,3,5,300,0.6092124814264487,0.6441717791411042,0.6005747126436781,0.6195965417867435,0.6444780635400907
5,log2,3,10,50,0.6128550074738416,0.6470588235294118,0.6020260492040521,0.6169296987087518,0.6486486486486487
5,log2,3,10,100,0.6094674556213018,0.6484018264840182,0.6071942446043166,0.6215827338129496,0.6456456456456456
5,log2,3,10,200,0.6083086053412463,0.6463414634146342,0.6,0.6195965417867435,0.6444780635400907
5,log2,3,10,300,0.6053412462908012,0.6451612903225806,0.6005747126436781,0.6176046176046176,0.6455505279034691
5,log2,5,2,50,0.6062407132243685,0.640746500777605,0.6011560693641619,0.6180257510729614,0.6475903614457831
5,log2,5,2,100,0.6071428571428571,0.6483180428134556,0.60431654676259,0.6195965417867435,0.6456456456456456
5,log2,5,2,200,0.6062407132243685,0.6451612903225806,0.6028571428571429,0.6206896551724138,0.6424242424242425
5,log2,5,2,300,0.6092124814264487,0.642089093701997,0.5988538681948424,0.6193921852387844,0.6445783132530121
5,log2,5,5,50,0.6062407132243685,0.640746500777605,0.6011560693641619,0.6180257510729614,0.6475903614457831
5,log2,5,5,100,0.6071428571428571,0.6483180428134556,0.60431654676259,0.6195965417867435,0.6456456456456456
5,log2,5,5,200,0.6062407132243685,0.6451612903225806,0.6028571428571429,0.6206896551724138,0.6424242424242425
5,log2,5,5,300,0.6092124814264487,0.642089093701997,0.5988538681948424,0.6193921852387844,0.6445783132530121
5,log2,5,10,50,0.6062407132243685,0.640746500777605,0.6011560693641619,0.6180257510729614,0.6475903614457831
5,log2,5,10,100,0.6071428571428571,0.6483180428134556,0.60431654676259,0.6195965417867435,0.6456456456456456
